Refresh rate, cpu cycles, bus cycles, instr, branch instructions, branch misses, bpu access, bpu miss, cache ref, cache misses, dtlb read, dtlb miss, itlb read accesses, itlb read misses
100000000,3624613,229920,764103,134997,8936,179777,10359,28100,0,522,1434,37,22
100000000,2787842,184735,528090,94273,11723,92633,8659,17347,0,293,279,30,33
100000000,3158540,189869,344142,134961,9076,100322,8877,28478,0,88,1156,0,0
100000000,3276837,217586,671269,94362,9875,89312,10686,39119,360,499,1469,0,0
100000000,2743207,197584,816954,166522,10375,208328,10199,29139,356,377,1296,0,0
100000000,2988432,199275,505513,110476,11632,85137,9127,20951,176,818,485,0,0
100000000,2722926,193302,389934,141127,9415,105153,9354,41350,170,79,1162,0,0
100000000,2697957,193126,604866,74562,8468,121253,8652,26777,0,417,1355,0,0
100000000,2591879,183461,456998,106323,9401,763821,35799,51114,0,381,1180,0,0
100000000,2748670,198379,555409,159087,10101,142024,11040,38538,0,444,334,0,0
100000000,15930252,590706,11005606,136983,9702,152303,8452,27086,0,893,2480,0,0
100000000,2716523,218436,689514,133817,8847,124539,8672,31874,0,327,1226,0,0
100000000,2759644,179555,617690,127756,9399,110534,16254,51937,0,452,1263,0,0
100000000,3376806,303423,622478,135248,10780,123717,9943,32983,0,500,616,0,23
100000000,10906024,693410,1823246,128155,13174,104695,9089,22245,0,428,542,38,22
100000000,2843513,185033,528115,122289,10704,102334,11620,31466,0,151,1140,27,35
100000000,3083366,193795,681345,115888,9456,106176,12116,29756,0,549,1084,4,0
100000000,2903534,198375,351950,74979,8119,95543,8259,28708,366,539,1222,0,0
100000000,2804813,206185,531360,144763,15684,155772,13903,34528,343,418,298,0,0
100000000,3618431,243547,566616,132357,9160,80213,8699,31985,183,174,1715,0,0
100000000,2602937,192758,525520,121825,10541,128634,10588,26911,140,474,1148,0,0
100000000,2917823,197324,413408,93356,10781,135444,12000,22296,0,518,1196,0,0
100000000,3346427,227584,533035,114797,10338,168499,11177,50121,0,566,659,0,0
100000000,2629405,201881,479579,110644,10664,121720,8794,34257,0,75,760,0,0
100000000,3485622,288125,463025,185432,11330,377167,38113,49798,0,274,1243,0,0
100000000,2677150,153576,646949,127660,8476,129648,11760,31281,0,516,1178,0,0
100000000,2323412,240473,598700,131342,8337,144306,8653,26985,0,465,749,0,0
100000000,3870671,263923,590167,121011,11943,84203,9209,18993,0,114,769,0,18
100000000,3389674,233856,760438,199422,9381,109347,9316,26002,0,116,1399,31,28
100000000,2938314,199844,681920,77254,8028,76088,9944,27992,0,664,1416,117,111
100000000,3091321,203871,459347,99874,8947,142105,8831,26623,0,450,729,0,0
100000000,5583135,350791,570187,107603,13103,84372,9427,28888,334,351,1466,0,0
100000000,2626875,187356,435180,139788,12173,126634,12095,25806,332,63,1215,0,0
100000000,2713288,196586,533497,77963,8561,77671,10256,29161,248,410,1223,0,0
100000000,3674736,198930,540263,252270,10601,292701,12727,29023,162,534,1734,0,0
100000000,2394672,189267,355263,78512,10572,103832,9009,22206,152,445,328,0,0
100000000,2632027,197763,463717,120970,11113,124743,8776,26664,0,76,720,0,0
100000000,2733930,195474,580682,108915,10022,123892,9507,38807,0,619,1216,0,0
100000000,3161802,226325,664000,172953,12092,144126,11257,25563,0,358,1181,0,0
100000000,2839519,205447,623314,129752,9111,163968,15828,44778,0,396,792,0,0
100000000,4120991,331430,765936,157181,12616,125317,10748,42835,0,275,1214,0,0
100000000,3138543,233853,681502,147657,9283,85738,9464,28480,0,234,1303,0,10
100000000,3081123,187420,757414,127257,8754,99544,10867,27066,0,414,1224,31,22
100000000,3661407,290327,715903,114829,12308,129414,12175,39177,0,498,865,65,0
100000000,2781186,162783,429294,97046,10902,97400,8747,24902,0,369,453,104,46
10000000,7255633,383763,1009284,217249,0,0,0,0,0,155,238,0,0
10000000,2656357,147119,569416,127920,2303,38457,1302,0,0,0,431,0,0
10000000,0,0,209843,40635,3279,62630,3538,0,0,0,0,0,0
10000000,0,0,0,0,510,26731,1182,5864,356,0,0,0,0
10000000,0,0,0,0,0,0,0,10721,0,6,0,13,0
10000000,1168060,81511,201031,44598,0,0,0,0,0,48,697,0,23
10000000,972285,64042,265910,57620,1386,36254,821,0,0,0,19,0,0
10000000,0,0,213887,58477,3403,65045,3675,0,0,0,0,0,0
10000000,0,0,0,0,490,25637,971,5057,351,0,0,0,0
10000000,0,0,0,0,0,0,0,9712,0,2,0,2,0
10000000,1249564,81555,302677,27758,0,0,0,0,0,225,790,0,23
10000000,975492,64713,250959,54167,1211,32276,638,0,0,0,18,0,0
10000000,0,0,211368,59595,3580,66984,3844,0,0,0,0,0,0
10000000,0,0,0,0,855,39066,3497,24560,132,0,0,0,0
10000000,0,0,0,0,0,0,0,11045,0,36,0,1,0
10000000,2007370,86981,224033,32170,0,0,0,0,0,314,1092,0,18
10000000,950311,66242,287361,59237,1295,34381,0,0,0,0,12,0,0
10000000,0,27646,372250,78799,3450,84394,3505,0,0,0,0,0,0
10000000,0,0,0,0,547,26854,3065,12592,251,0,0,0,0
10000000,0,0,0,0,0,0,0,4046,0,2,0,1,0
10000000,946535,38749,115212,28325,0,0,0,0,0,186,686,0,10
10000000,864878,64626,261951,53324,1161,34762,0,0,0,0,18,0,0
10000000,0,33443,253702,54982,3073,59521,3113,0,0,0,0,0,0
10000000,0,0,0,0,528,26224,3158,11911,93,0,0,0,0
10000000,0,0,0,0,0,0,507,3476,0,3,0,4,0
10000000,1314924,51507,141318,27228,0,0,0,0,0,227,887,0,18
10000000,910860,62961,270656,55800,1453,33380,0,0,0,0,6,0,0
10000000,0,51886,222461,46535,2292,50079,1780,0,0,0,0,0,0
10000000,0,0,0,0,560,44197,3322,13909,163,0,0,0,0
10000000,0,0,0,0,0,0,483,2700,0,2,0,4,0
10000000,457937,23621,84675,0,0,0,0,0,0,389,135,65,0
10000000,864102,83793,488378,74667,2818,76087,0,0,0,83,20,0,0
10000000,0,46499,199295,39581,1851,43006,1815,0,0,0,0,0,0
10000000,0,0,0,0,530,47392,3274,12981,181,0,0,0,0
10000000,0,0,0,0,0,0,556,2690,0,3,0,8,0
10000000,561611,35571,102340,0,0,0,0,0,0,275,188,67,0
10000000,1042656,77139,363328,45204,2538,35270,0,0,0,81,13,0,0
10000000,0,55786,195607,39277,2308,46524,2091,0,0,0,0,0,0
10000000,0,0,0,0,2833,69683,3777,4474,189,0,0,0,0
10000000,0,0,0,0,0,0,545,11126,0,0,0,1,0
10000000,556413,27349,96655,0,0,0,0,0,0,91,223,31,22
10000000,1215553,93118,408867,53268,1284,43736,0,0,0,66,421,0,0
10000000,0,56203,215226,59132,3026,59473,2735,0,0,0,0,0,0
10000000,0,0,0,35538,2991,55418,4061,4046,171,0,0,0,0
10000000,0,0,0,0,0,0,520,13040,0,9,0,0,0
10000000,430800,27641,94505,0,0,0,0,0,0,74,203,31,33
10000000,1329863,96934,382276,45534,1019,36282,0,0,0,60,431,0,0
10000000,0,56714,199242,60708,3457,61280,3203,0,0,0,0,0,0
10000000,0,0,0,36316,643,28957,1673,4842,187,0,0,0,0
10000000,0,0,0,0,0,0,545,12629,0,7,0,2,0
10000000,431507,27563,97819,0,0,0,0,0,0,81,211,34,28
10000000,1440794,101570,484060,28392,985,36129,0,0,0,229,456,0,0
10000000,0,51764,198045,60561,3458,61727,3184,0,0,0,0,0,0
10000000,0,0,0,38394,598,30395,1618,4853,182,0,0,0,0
10000000,0,0,0,0,0,0,526,12881,248,0,0,0,0
10000000,428635,27610,84805,0,0,0,0,636,0,251,545,234,64
10000000,1469120,103530,369111,31331,1118,36170,0,0,0,117,45,0,0
10000000,0,51114,270395,60604,3474,61684,3236,0,0,0,0,0,0
10000000,0,0,0,36908,613,31840,2119,7233,186,0,0,0,0
10000000,0,0,0,0,0,0,2800,13715,332,0,0,0,0
10000000,716330,24864,94035,0,0,0,0,725,0,220,631,34,33
10000000,990463,68063,310910,28451,449,36091,0,0,0,54,13,0,0
10000000,0,50045,286900,63439,3605,65520,3481,0,0,0,0,0,0
10000000,0,0,0,37883,615,29505,1597,5224,914,0,0,0,0
10000000,0,0,0,0,0,0,2074,15764,334,0,0,0,0
10000000,956049,27430,93128,0,0,0,0,785,0,261,693,36,28
10000000,1010765,65245,311205,27418,309,0,0,0,0,59,13,0,0
10000000,294119,450594,3212021,1000671,3085,996330,957,0,0,0,0,0,0
10000000,0,0,0,193402,534,998870,2310,435,59,0,0,0,0
10000000,0,0,0,0,0,0,235,455,60,0,0,0,0
10000000,8170959,82697,404338,0,0,0,0,103,0,237,119,26,22
10000000,18840020,1046147,5023889,854443,376,0,0,0,0,48,13,0,0
10000000,2361816,535066,6201159,1730588,2894,1600781,902,0,0,0,0,0,0
10000000,0,0,0,529676,686,1766862,3053,536,52,0,0,0,0
10000000,0,0,0,0,0,137272,623,494,58,0,0,0,0
10000000,8821292,0,0,0,0,0,0,102,0,197,127,35,22
10000000,25967000,983443,6449708,947952,646,0,0,0,0,50,210,0,0
10000000,6335547,656932,6907621,1717054,2741,1313673,864,0,0,0,0,0,0
10000000,0,0,280519,722625,2707,1713032,3395,230,62,0,0,0,0
10000000,0,0,0,0,0,354057,705,440,58,0,0,0,0
10000000,5690469,0,0,0,0,0,0,260,0,100,413,35,24
10000000,8706393,876318,1912505,263176,209,0,0,0,0,83,54,0,0
